Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,Tajikistan,TJK,,9750064.0,-3564.0,7046761.0,2703303.0
2021,YR2021,Tanzania,TZA,,63588334.0,-4865.0,40725784.0,22862550.0
2021,YR2021,Thailand,THA,,71601103.0,1133.0,34251820.0,37349283.0
2021,YR2021,Timor-Leste,TLS,,1320942.0,-1997.0,902269.0,418673.0
2021,YR2021,Togo,TGO,,8644829.0,-995.0,4896604.0,3748225.0
2021,YR2021,Tonga,TON,,106017.0,-948.0,81523.0,24494.0
2021,YR2021,Trinidad and Tobago,TTO,,1525663.0,2632.0,713019.0,812644.0
2021,YR2021,Tunisia,TUN,,12262946.0,-9189.0,3692618.0,8570328.0
2021,YR2021,Turkiye,TUR,,84147318.0,-69729.0,19716558.0,64430760.0
2021,YR2021,Turkmenistan,TKM,,6341855.0,-4503.0,2980799.0,3361056.0
2021,YR2021,Turks and Caicos Islands,TCA,,45114.0,682.0,2782.0,42332.0
2021,YR2021,Tuvalu,TUV,,11204.0,-15.0,3945.0,7259.0
2021,YR2021,Uganda,UGA,,45853778.0,43465.0,34136762.0,11717016.0
2021,YR2021,Ukraine,UKR,,43822901.0,831.0,13253360.0,30569541.0
2021,YR2021,United Arab Emirates,ARE,,9365145.0,-2762.0,1189467.0,8175678.0
2021,YR2021,United Kingdom,GBR,,67026292.0,202027.0,10622327.0,56403965.0
2021,YR2021,United States,USA,,332031554.0,561580.0,56867044.0,275164510.0
2021,YR2021,Uruguay,URY,,3426260.0,-1486.0,150653.0,3275607.0
2021,YR2021,Uzbekistan,UZB,,34915100.0,-39201.0,17308463.0,17606637.0
2021,YR2021,Vanuatu,VUT,,319137.0,-197.0,237230.0,81907.0
2021,YR2021,"Venezuela, RB",VEN,,28199867.0,-525116.0,3292334.0,24907533.0
2021,YR2021,Viet Nam,VNM,,97468029.0,-992.0,60379495.0,37088534.0
2021,YR2021,Virgin Islands (U.S.),VIR,,105870.0,-224.0,4192.0,101678.0
2021,YR2021,West Bank and Gaza,PSE,,4922749.0,-12369.0,1132085.0,3790664.0
2021,YR2021,"Yemen, Rep.",YEM,,32981641.0,-101468.0,20268538.0,12713103.0
2021,YR2021,Zambia,ZMB,,19473125.0,9015.0,10672830.0,8800295.0
2021,YR2021,Zimbabwe,ZWE,,15993524.0,-25005.0,10827136.0,5166388.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 12/20/2023,,,,,,,,
